City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
212,balyaga,51.1507,108.921,53.44,overcast clouds,0.0,0,83,89,1.3,RU
213,zhigansk,66.7697,123.3711,71.28,broken clouds,0.0,0,60,84,8.61,RU
214,honiara,-9.4333,159.95,76.44,few clouds,0.0,0,89,16,7.09,SB
215,ichchapuram,19.1167,84.7,84.54,scattered clouds,0.0,0,75,46,6.76,IN
216,westlock,54.1502,-113.8688,63.1,clear sky,0.0,0,83,0,5.88,CA
217,sakakah,29.9697,40.2064,110.77,overcast clouds,0.0,0,6,100,2.35,SA
218,bilbor,47.05,25.5167,70.0,overcast clouds,0.0,0,76,100,2.37,RO
219,umm kaddadah,13.6017,26.6876,88.27,overcast clouds,0.0,0,41,100,10.38,SD
220,hamilton,39.1834,-84.5333,79.09,few clouds,0.0,0,87,20,8.05,US
221,kayerkan,69.3497,87.7602,60.53,few clouds,0.0,0,63,13,9.46,RU
222,yar-sale,66.8333,70.8333,71.92,overcast clouds,0.0,0,57,97,3.04,RU
223,anadyr,64.75,177.4833,48.7,broken clouds,0.0,0,93,75,13.42,RU
224,luau,-10.7073,22.2247,87.51,overcast clouds,0.0,0,14,98,1.36,AO
225,sitka,57.0531,-135.33,57.09,light rain,0.25,0,88,100,3.44,US
226,qurayyat,31.3318,37.3428,107.78,clear sky,0.0,0,7,0,2.3,SA
227,shimoda,34.6667,138.95,78.1,overcast clouds,0.0,0,91,100,3.83,JP
228,bobrovka,54.047,61.7455,57.99,overcast clouds,0.0,0,87,100,10.38,RU
229,zunyi,27.6867,106.9072,71.22,clear sky,0.0,0,90,0,0.92,CN
230,polur,12.5,79.1333,85.57,overcast clouds,0.0,0,64,95,7.05,IN
231,santa maria,-29.6842,-53.8069,70.9,clear sky,0.0,0,73,0,3.44,BR
232,sioux lookout,50.1001,-91.917,55.47,overcast clouds,0.0,0,88,100,9.22,CA
233,homer,59.6425,-151.5483,56.05,clear sky,0.0,0,89,0,8.01,US
234,sao filipe,14.8961,-24.4956,80.15,broken clouds,0.0,0,81,53,8.68,CV
