City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,sao marcos,BR,71.35,overcast clouds,-28.9711,-51.0681,
317,georgetown,MY,85.95,thunderstorm,5.4112,100.3354,
318,margate,GB,71.31,overcast clouds,51.3813,1.3862,
319,kaufbeuren,DE,79.0,few clouds,47.8833,10.6167,
324,lagoa,PT,71.94,clear sky,39.05,-27.9833,
325,inhuma,BR,87.33,clear sky,-6.6683,-41.7078,
328,saldanha,ZA,75.25,clear sky,-33.0117,17.9442,
329,zhangye,CN,80.26,scattered clouds,38.9342,100.4517,
331,karratha,AU,70.75,light rain,-20.7377,116.8463,
332,aitape,PG,78.49,scattered clouds,-3.1374,142.3475,
334,olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,
335,almaznyy,RU,81.36,overcast clouds,48.0448,40.045,
337,masumbwe,TZ,87.1,broken clouds,-3.6333,32.1833,
339,tiassale,CI,83.07,overcast clouds,5.8983,-4.8283,
344,bengkulu,ID,79.16,overcast clouds,-3.8004,102.2655,
345,chai badan,TH,84.4,moderate rain,15.2,101.1333,
347,shulan,CN,73.27,overcast clouds,44.4167,126.95,
348,vaitape,PF,78.8,light rain,-16.5167,-151.75,
350,aktau,KZ,79.38,clear sky,43.65,51.2,
353,gizo,SB,81.01,light rain,-8.103,156.8419,
356,businga,CD,72.14,overcast clouds,3.3333,20.8833,
357,keita,NE,83.37,overcast clouds,14.7551,5.7749,
360,plettenberg bay,ZA,70.61,clear sky,-34.0527,23.3716,
361,meadow lake,US,72.91,few clouds,34.8014,-106.5436,
362,zbarazh,UA,77.43,overcast clouds,49.6636,25.7762,
363,iralaya,HN,81.68,scattered clouds,15.0,-83.2333,
365,vila velha,BR,78.75,clear sky,-20.3297,-40.2925,
366,ambon,ID,78.94,broken clouds,-3.6954,128.1814,
368,tezu,IN,77.31,few clouds,27.9167,96.1667,
371,batagay,RU,70.52,overcast clouds,67.6333,134.6333,
373,vasai,IN,86.09,broken clouds,19.47,72.8,
374,yarada,IN,86.32,mist,17.65,83.2667,
376,nhulunbuy,AU,74.01,scattered clouds,-12.2333,136.7667,
378,mena,UA,74.64,overcast clouds,51.5217,32.2157,
379,poro,PH,85.23,overcast clouds,10.6292,124.4087,
380,izvestkovyy,RU,70.99,moderate rain,48.9833,131.55,
381,kamenka,RU,83.82,broken clouds,51.3223,42.7678,
383,ndele,CF,70.68,light rain,8.4109,20.6473,
384,anjiang,CN,75.79,overcast clouds,27.3194,110.1031,
385,sao joao da barra,BR,77.09,clear sky,-21.6403,-41.0511,
387,meulaboh,ID,78.58,overcast clouds,4.1363,96.1285,
388,nagato,JP,79.72,clear sky,34.3833,131.2,
392,broome,US,79.09,scattered clouds,42.2506,-75.833,
395,luzhou,CN,81.03,clear sky,28.8724,105.4405,
397,dolzhanskaya,RU,80.33,clear sky,46.6311,37.8039,
400,caxito,AO,87.4,overcast clouds,-8.5785,13.6643,
402,dingzhou,CN,75.31,clear sky,38.5131,114.9956,
403,iganga,UG,78.31,overcast clouds,0.6092,33.4686,
406,tautira,PF,77.59,few clouds,-17.7333,-149.15,
407,labuhan,ID,79.25,broken clouds,-6.8844,112.2051,
408,tecoanapa,MX,75.42,overcast clouds,16.5167,-98.75,
410,caravelas,BR,78.17,few clouds,-17.7125,-39.2481,
411,lake charles,US,82.04,few clouds,30.2131,-93.2044,
412,benguela,AO,74.3,broken clouds,-12.5763,13.4055,
413,jian,CN,83.14,overcast clouds,27.1172,114.9793,
415,eshowe,ZA,73.45,clear sky,-28.8865,31.4699,
417,kupang,ID,75.29,overcast clouds,-10.1667,123.5833,
420,oktyabrskoye,RU,78.94,broken clouds,43.0645,44.7417,
421,westport,US,82.09,overcast clouds,41.1415,-73.3579,
422,japoata,BR,77.49,broken clouds,-10.3467,-36.8011,
423,zvishavane,ZW,71.58,clear sky,-20.3267,30.0665,
